Ticker,Volume,Volume Weighted Avg,Open,Close,High,Low,Timestamp,No. Transactions
REG,341984.0,66.1968,66.43,66.27,66.52,65.88,1669410000000,6246
REGN,229209.0,734.6966,732.69,736.23,737.24,728.61,1669410000000,9415
RF,1377504.0,22.896,22.85,22.87,22.9755,22.795,1669410000000,9775
RSG,510233.0,136.9895,136.49,136.88,137.4384,136.04,1669410000000,10312
RMD,196383.0,229.7361,229.8,229.92,231.0,229.03,1669410000000,6513
RHI,213536.0,77.6162,77.01,77.81,77.84,76.98,1669410000000,5022
ROK,287671.0,265.5175,266.32,264.86,268.25,264.37,1669410000000,8191
ROL,597150.0,39.9603,39.86,39.99,40.15,39.78,1669410000000,7938
ROP,177661.0,436.4725,433.41,436.38,438.96,432.55,1669410000000,6432
ROST,1134493.0,115.6292,116.54,115.94,116.81,114.92,1669410000000,20185
RCL,1075830.0,59.7961,59.34,59.68,60.308,59.07,1669410000000,14455
SPGI,763527.0,356.2465,355.05,357.91,358.31,352.53,1669410000000,19060
CRM,3023746.0,152.9462,152.07,153.35,154.04,151.38,1669410000000,44046
SBAC,313866.0,297.147,297.74,296.54,299.245,295.12,1669410000000,7581
